year,match_num,match_num_t,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,W_L,H_A
1992,50,50,['04'],"['04', '08']","['04', '08']","['04', '08']","['04', '08', '23']","['04', '08', '23']","['04', '08', '23']","['04', '08', '23']","['04', '08', '23']","['04', '08', '23']","['04', '08', '23']","['04', '08', '23']","['04', '08', '23']","['04', '08', '23']","['04', '08', '23']","['04', '08', '23']","['04', '08', '23']","['04', '08', '23']","['04', '08', '23']","['04', '08', '23']",D,H
1992,50,50,[],[],['11'],['11'],['11'],"['11', '29']","['11', '29']","['11', '29', '38']","['11', '29', '38']","['11', '29', '38']","['11', '29', '38']","['11', '29', '38']","['11', '29', '38']","['11', '29', '38']","['11', '29', '38']","['11', '29', '38']","['11', '29', '38']","['11', '29', '38']","['11', '29', '38']","['11', '29', '38']",D,A
1992,51,51,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,H
1992,51,51,[],[],[],['17'],['17'],['17'],['17'],['17'],['17'],['17'],"['17', '50']","['17', '50']","['17', '50']","['17', '50']","['17', '50']","['17', '50']","['17', '50']","['17', '50']","['17', '50']","['17', '50']",W,A
1992,52,52,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,H
1992,52,52,['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],['02'],"['02', '86']","['02', '86']",W,A
1992,53,53,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['80'],"['80', '83']","['80', '83']","['80', '83']",W,H
1992,53,53,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['75'],['75'],['75'],['75'],['75'],L,A
1992,54,54,[],[],[],[],[],[],[],[],['45'],['45'],['45'],['45'],['45'],['45'],['45'],['45'],['45'],['45'],['45'],['45'],D,H
1992,54,54,[],[],[],[],[],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],D,A
